id	ec_numbers
MNXR100757	1.12.7.2;1.12.99.-
MNXR100759	
MNXR100760	
MNXR100761	
MNXR100762	
MNXR100763	3.1.3.74
MNXR100764	
MNXR100766	
MNXR100767	
MNXR100768	
MNXR100769	
MNXR100770	
MNXR100771	
MNXR100774	
MNXR100775	
MNXR100776	3.1.3.66
MNXR100778	
MNXR100779	
MNXR100780	
MNXR100782	1.1.1.286;1.1.1.41;1.1.1.42;1.1.1.87
MNXR100784	5.4.4.2;5.4.99.6
MNXR100786	
MNXR100787	
MNXR100788	
MNXR100790	
MNXR100791	
MNXR100793	1.11.1.8
MNXR100794	1.11.1.8
MNXR100796	5.3.3.2
MNXR100797	
MNXR100798	
MNXR100799	
MNXR100800	
MNXR100801	1.1.1;1.1.1.264;1.1.1.366
MNXR100802	1.1.1.128;1.1.1.264
MNXR100803	3.6.3;3.6.3.-
MNXR100804	
MNXR100805	
MNXR100806	
MNXR100809	
MNXR100810	1.17.1.2
MNXR100813	4.2.1.19
MNXR100815	
MNXR100816	1.4.1.20;1.4.1.9
MNXR100817	
MNXR100819	
MNXR100821	3.6.3.22;7.4.2.2
MNXR100822	
MNXR100823	
MNXR100824	
MNXR100825	
MNXR100826	4.2.1.33
MNXR100827	4.2.1.33
MNXR100828	
MNXR100829	
MNXR100832	
MNXR100833	
MNXR100834	
MNXR100837	4.1.1.43;4.1.1.74
MNXR100846	
MNXR100847	
MNXR100851	
MNXR100852	
MNXR100857	
MNXR100858	
MNXR100874	1.17.1.2
MNXR100875	
MNXR100876	
MNXR100878	1.1.1.85
MNXR100880	
MNXR100881	
MNXR100893	
MNXR100894	
MNXR100895	
MNXR100898	
MNXR100904	1.1.1.86
MNXR100907	2.3.1.41
MNXR100909	2.3.1.41
MNXR100910	2.3.1.41
MNXR100914	
MNXR100915	
MNXR100919	2.3.1.41
MNXR100920	2.3.1.41
MNXR100922	2.3.1.41
MNXR100923	
MNXR100926	
MNXR100927	
MNXR100929	
MNXR100930	
MNXR100931	
MNXR100935	4.1.1.85
MNXR100937	
MNXR100938	
MNXR100939	2.A.37.-.-
MNXR100940	
MNXR100941	
MNXR100942	
MNXR100943	
MNXR100944	
MNXR100945	
MNXR100946	3.7.1.3
MNXR100947	1.14.13.9
MNXR100948	2.6.1.7
MNXR100949	2.6.1.63;2.6.1.7
MNXR100950	1.A.1.-.-
MNXR100951	2.A.37.-.-
MNXR100952	
MNXR100953	
MNXR100955	
MNXR100956	
MNXR100966	
MNXR100967	
MNXR100968	
MNXR100977	
MNXR100979	
MNXR100984	
MNXR100985	6.3.2.28;6.3.2.49
MNXR100990	
MNXR100993	
MNXR100998	
MNXR100999	
MNXR101003	
MNXR101004	
MNXR101005	
MNXR101006	
MNXR101007	1.1.1.283
MNXR101008	1.1.1.21;1.1.1.78;1.1.1.79
MNXR101009	
MNXR101011	3.4.13.18
MNXR101014	
MNXR101016	
MNXR101017	
MNXR101018	1.2.1.-;1.2.1.21;1.2.1.22;1.2.1.3
MNXR101019	1.2.1.23;1.2.1.3
MNXR101020	
MNXR101021	
MNXR101032	4.1.1.-;4.1.1.15;4.1.1.29
MNXR101033	
MNXR101034	
MNXR101035	
MNXR101036	
MNXR101037	1.1.1;1.1.1.27;1.1.1.28
MNXR101039	1.1.-.-;1.1.2.4;1.1.5.-
MNXR101040	1.1.1;1.1.1.27;1.1.1.28
MNXR101041	
MNXR101043	
MNXR101044	
MNXR101045	
MNXR101046	
MNXR101047	
MNXR101048	
MNXR101049	
MNXR101051	
MNXR101052	
MNXR101059	
MNXR101060	3.7.1.3
MNXR101063	
MNXR101064	
MNXR101065	
MNXR101066	3.1.1.1
MNXR101067	
MNXR101068	1.14.13.-;1.14.14.-;1.14.14.1
MNXR101069	
MNXR101070	
MNXR101071	
MNXR101072	
MNXR101073	
MNXR101074	
MNXR101075	
MNXR101076	
MNXR101078	
MNXR101080	
MNXR101082	3.6.3.39
MNXR101084	
MNXR101086	
MNXR101087	
MNXR101088	
MNXR101089	
MNXR101090	
MNXR101091	
MNXR101093	
MNXR101095	
MNXR101098	
MNXR101099	
MNXR101100	
MNXR101101	
MNXR101102	
MNXR101103	
MNXR101104	
MNXR101105	
MNXR101106	
MNXR101107	
MNXR101108	
MNXR101109	
MNXR101110	
MNXR101111	
MNXR101112	
MNXR101113	
MNXR101114	
MNXR101116	
MNXR101120	
MNXR101123	
MNXR101124	
MNXR101125	
MNXR101126	
MNXR101127	
MNXR101130	
MNXR101131	
MNXR101133	
MNXR101141	3.1.1.5
MNXR101142	3.1.1.5
MNXR101143	3.1.1.5
MNXR101145	
MNXR101146	3.1.1.5
MNXR101147	
MNXR101148	
MNXR101149	
MNXR101150	
MNXR101151	
MNXR101152	
MNXR101154	
MNXR101155	
MNXR101156	
MNXR101157	
MNXR101158	
MNXR101159	
MNXR101160	
MNXR101161	
MNXR101162	3.1.1.5
